Unnamed: 0,JD,Space Mag,Mag,error,Air Mass,extinction,extinction error
0,2460342.34613426,12.060978508965158,12.19159647790407,0.0134,1.2439752583156476,0.1050004556487476,0.0011447122144363
1,2460342.352199074,12.178838721315628,12.30649136587121,0.0134,1.215734196264935,,
2,2460342.423125,12.072047129699214,12.18073875080042,0.0134,1.035153804139729,,
3,2460342.391400463,12.440854007504948,12.555454385931522,0.0134,1.0914274392288428,,
4,2460342.3552314816,12.209706315904299,12.33598133863773,0.0134,1.2026140453699767,,
5,2460342.4095949074,12.342916090651304,12.453735717643417,0.0134,1.0554204389629676,,
6,2460342.380902778,12.390146268468097,12.50755248908837,0.0134,1.1181496298742384,,
7,2460342.3400694444,12.04672712368847,12.179862135812895,0.0134,1.2679469941520565,,
8,2460342.383935185,12.400222595232385,12.516717853082564,0.0134,1.1094738316173138,,
9,2460342.3626967594,12.28889042333603,12.412259936836398,0.0134,1.1749426489449657,,
10,2460342.4261574075,12.085796475973252,12.194268243450148,0.0134,1.033059969184902,,
11,2460342.4035416665,12.417782063656913,12.52982737566619,0.0134,1.0670935789468936,,
12,2460342.3491666666,12.133651547035884,12.26275336512198,0.0134,1.2295357890443357,,
13,2460342.4291898147,12.103775682725587,12.211853229136894,0.0134,1.0293054991385242,,
14,2460342.359664352,12.259660298148203,12.384278325772556,0.0134,1.1868332080503616,,
15,2460342.418703704,12.114551906248906,12.224025919926415,0.0134,1.0426051296741716,,
16,2460342.343101852,12.085999333130845,12.218204638494756,0.0134,1.259092682475302,,
17,2460342.400497685,12.437954116033955,12.550362963910604,0.0134,1.07055581027842,,
18,2460342.337037037,12.042901554696472,12.177740176558531,0.0134,1.2841717783885378,,
19,2460342.330960648,12.10646945957284,12.24496045848085,0.0134,1.3189561707360182,,
20,2460342.3657291667,12.296655011399936,12.418832513406675,0.0134,1.1635902077935012,,
21,2460342.3717939816,12.327731566151174,12.447689801779887,0.0134,1.1424544292455547,,
22,2460342.4126273147,12.277756883268275,12.388020869089184,0.0134,1.050128641248659,,
23,2460342.368761574,12.319294673668285,12.440338975217989,0.0134,1.1527978693218903,,
24,2460342.397465278,12.444584719141748,12.557685274052602,0.0134,1.077143467731253,,
25,2460342.374837963,12.361189671758584,12.480561785874366,0.0134,1.136872343822111,,
26,2460342.327928241,12.157913297366596,12.298360531516067,0.0134,1.337586901711184,,
27,2460342.37787037,12.374468345671996,12.49283170652942,0.0134,1.1272652116232689,,
28,2460342.4065625,12.383726710756441,12.495141119201504,0.0134,1.0610849996477236,,
29,2460342.4322337965,12.134664592733408,12.242378629855027,0.0134,1.0258435209266974,,
30,2460342.3340046294,12.044209752641226,12.180832164320982,0.0134,1.3011601791214344,,
31,2460342.394421296,12.45050920952562,12.564340275364154,0.0134,1.084100684470622,,
32,2460342.4156712964,12.199023541448085,12.308762622241725,0.0134,1.0451295674443832,,
33,2460342.386979167,12.46725789278605,12.582885536313483,0.0134,1.1012108739245496,,
