JD,Colour,Error
2460342.4080902776,0.03544247418547819,0.021387326957741957
2460342.376354167,-0.025507683615838772,0.021387326957741957
2460342.326412037,-0.15991706711472986,0.021387326957741957
2460342.427673612,-0.6795756203064318,0.021387326957741957
2460342.402013889,0.0018601129097266522,0.021387326957741957
2460342.332476852,-0.6200133218440698,0.021387326957741957
2460342.392905093,-0.14071803863238408,0.021387326957741957
2460342.385462963,0.17536162031625224,0.021387326957741957
2460342.4307175926,-0.6128318935033761,0.021387326957741957
2460342.3537152777,-0.3809825846777848,0.021387326957741957
2460342.341585648,-0.3434843886159058,0.021387326957741957
2460342.4141435185,-0.46377276855265137,0.021387326957741957
2460342.4216087963,-0.40833303236868446,0.021387326957741957
2460342.3446180555,-0.32416229252469186,0.021387326957741957
2460342.4171875,-0.42980695098461474,0.021387326957741957
2460342.373310185,0.01859378135017664,0.021387326957741957
2460342.433761574,-0.2527442439874008,0.021387326957741957
2460342.364212963,-0.3796101277315955,0.021387326957741957
2460342.4111226853,0.00040660011327631196,0.021387326957741957
2460342.379386574,0.07128909154999086,0.021387326957741957
2460342.3581365743,-0.3180369477885332,0.021387326957741957
2460342.3355208333,-0.6307773688268057,0.021387326957741957
2460342.3989814813,-0.031690459935186155,0.021387326957741957
2460342.3824189813,-0.12145640581512929,0.021387326957741957
2460342.3611805555,-0.4195287349743957,0.021387326957741957
2460342.395949074,-0.11415071304131708,0.021387326957741957
2460342.3294444443,-0.3466485925342031,0.021387326957741957
2460342.3385416665,-0.6538811328517706,0.021387326957741957
2460342.3476504628,-0.5644975998211699,0.021387326957741957
2460342.389884259,0.10373790785675396,0.021387326957741957
2460342.370277778,0.06356997815212928,0.021387326957741957
2460342.4050578703,-0.273257682540061,0.021387326957741957
2460342.3506828705,-0.336313058002494,0.021387326957741957
2460342.3672453705,-0.38349094764799574,0.021387326957741957
